,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kaitangata,-46.2817,169.8464,55.0,76,100,13.0,NZ,1619728647
1,rikitea,-23.1203,-134.9692,76.48,68,99,10.13,PF,1619728648
2,hilo,19.7297,-155.09,80.6,57,20,3.44,US,1619728381
3,hermanus,-34.4187,19.2345,55.99,74,80,3.0,ZA,1619728648
4,ushuaia,-54.8,-68.3,42.8,56,20,5.75,AR,1619728650
5,caravelas,-17.7125,-39.2481,74.66,78,60,11.25,BR,1619728651
6,victoria,22.2855,114.1577,73.99,85,100,3.89,HK,1619728651
7,vaini,-21.2,-175.2,75.2,100,90,10.36,TO,1619728651
8,khandyga,62.6667,135.6,31.26,99,100,2.51,RU,1619728652
9,barrow,71.2906,-156.7887,21.2,86,90,9.22,US,1619728653
10,bunia,1.5667,30.25,65.43,84,99,0.81,CD,1619728654
11,longyearbyen,78.2186,15.6401,21.2,58,40,13.8,SJ,1619728654
12,hithadhoo,-0.6,73.0833,83.52,72,96,8.37,MV,1619728655
13,kitimat,54.0524,-128.6534,50.0,96,100,2.51,CA,1619728655
14,winneba,5.3511,-0.6231,82.4,83,0,9.22,GH,1619728655
15,banda aceh,5.5577,95.3222,79.99,79,89,2.19,ID,1619728656
16,yellowknife,62.456,-114.3525,28.0,59,20,11.5,CA,1619728656
17,punta arenas,-53.15,-70.9167,42.8,75,75,3.44,CL,1619728656
18,kodiak,57.79,-152.4072,42.8,81,90,5.75,US,1619728657
19,saint anthony,45.0205,-93.218,66.99,26,1,17.27,US,1619728657
20,bima,-8.4667,118.7167,71.8,88,65,3.47,ID,1619728658
21,atuona,-9.8,-139.0333,79.07,72,4,5.75,PF,1619728658
22,ketchikan,55.3422,-131.6461,48.2,93,90,27.63,US,1619728658
23,cape town,-33.9258,18.4232,57.0,82,0,5.75,ZA,1619728551
24,mahebourg,-20.4081,57.7,77.0,83,75,14.97,MU,1619728659
25,salvador,13.8333,-88.9167,86.0,61,40,14.97,SV,1619728660
26,los llanos de aridane,28.6585,-17.9182,69.8,68,20,3.44,ES,1619728660
27,pringsewu,-5.3582,104.9744,73.92,97,99,3.13,ID,1619728660
28,bethel,41.3712,-73.414,66.2,82,90,6.91,US,1619728661
29,qaanaaq,77.484,-69.3632,26.8,74,90,7.29,GL,1619728662
30,vardo,70.3705,31.1107,28.4,74,75,12.66,NO,1619728663
31,vostok,46.4856,135.8833,36.64,50,79,3.29,RU,1619728664
32,dikson,73.5069,80.5464,-2.13,99,96,7.23,RU,1619728664
33,new norfolk,-42.7826,147.0587,54.0,94,75,5.75,AU,1619728664
34,dolinsk,47.35,142.8,35.6,93,90,11.18,RU,1619728665
35,khatanga,71.9667,102.5,30.13,94,100,8.3,RU,1619728665
36,mar del plata,-38.0023,-57.5575,71.6,60,0,17.27,AR,1619728611
37,jamestown,42.097,-79.2353,54.0,94,90,12.66,US,1619728666
38,mount isa,-20.7333,139.5,64.4,59,40,6.91,AU,1619728666
39,georgetown,5.4112,100.3354,80.01,94,20,5.75,MY,1619728667
40,narsaq,60.9167,-46.05,44.6,61,20,5.75,GL,1619728667
41,kemi,65.8596,24.8228,32.0,86,0,4.61,FI,1619728667
42,korla,41.7597,86.1469,68.7,16,0,5.03,CN,1619728668
43,kapaa,22.0752,-159.319,77.0,61,1,11.5,US,1619728668
44,riyadh,24.6877,46.7219,80.6,22,0,4.61,SA,1619728537
45,thompson,55.7435,-97.8558,33.8,40,75,14.97,CA,1619728669
46,port alfred,-33.5906,26.891,64.45,75,100,12.41,ZA,1619728669
47,powell river,49.8496,-124.5361,59.0,67,90,9.22,CA,1619728670
48,sokolo,14.7328,-6.1219,100.29,18,88,3.33,ML,1619728671
49,avera,33.194,-82.5271,82.4,54,40,9.22,US,1619728554
50,mataura,-46.1927,168.8643,52.0,87,100,8.99,NZ,1619728672
51,coahuayana,18.7333,-103.6833,84.2,48,90,9.22,MX,1619728673
52,zunyi,27.6867,106.9072,58.48,81,5,2.62,CN,1619728674
53,touros,-5.1989,-35.4608,80.6,78,75,9.22,BR,1619728675
54,colomi,-17.35,-65.8667,73.4,33,40,3.44,BO,1619728676
55,whittlesea,-32.1759,26.8244,52.38,92,100,3.83,ZA,1619728678
56,hobart,-42.8794,147.3294,54.0,94,75,5.75,AU,1619728678
57,aspindza,41.5739,43.2483,53.19,85,100,1.34,GE,1619728679
58,kenai,60.5544,-151.2583,42.8,93,90,16.11,US,1619728679
59,torbay,47.6666,-52.7314,48.0,66,75,9.22,CA,1619728528
60,aracaju,-10.9111,-37.0717,82.4,69,40,9.22,BR,1619728682
61,chokurdakh,70.6333,147.9167,3.72,98,95,3.29,RU,1619728683
62,melfi,40.9965,15.6514,54.0,77,17,1.01,IT,1619728684
63,kutum,14.2,24.6667,80.13,12,54,8.43,SD,1619728684
64,arraial do cabo,-22.9661,-42.0278,69.8,83,75,5.75,BR,1619728684
65,san quintin,30.4833,-115.95,71.04,51,0,11.86,MX,1619728685
66,husavik,66.0449,-17.3389,37.4,87,20,13.8,IS,1619728685
67,bengkulu,-3.8004,102.2655,75.45,91,91,5.01,ID,1619728687
68,duncan,34.5023,-97.9578,71.01,64,1,17.27,US,1619728691
69,axim,4.8699,-2.2405,81.27,79,100,5.37,GH,1619728691
70,carnarvon,-24.8667,113.6333,69.8,88,40,8.05,AU,1619728692
71,bredasdorp,-34.5322,20.0403,55.4,82,96,4.61,ZA,1619728692
72,severo-kurilsk,50.6789,156.125,36.41,86,43,4.36,RU,1619728692
73,xuddur,4.1213,43.8894,75.88,80,95,9.69,SO,1619728693
74,tuktoyaktuk,69.4541,-133.0374,23.0,74,20,17.27,CA,1619728693
75,haverfordwest,51.8017,-4.9691,46.0,79,18,4.0,GB,1619728694
76,qaqortoq,60.7167,-46.0333,44.6,61,20,5.75,GL,1619728694
77,balabac,7.9868,117.0645,81.55,78,46,10.22,PH,1619728694
78,luzhou,28.8724,105.4405,67.23,79,0,1.66,CN,1619728696
79,xacmaz,41.4635,48.806,56.26,60,100,2.75,AZ,1619728698
80,phan thiet,10.9333,108.1,76.32,86,28,5.59,VN,1619728698
81,avarua,-21.2078,-159.775,82.4,83,20,8.05,CK,1619728698
82,marrakesh,31.6315,-8.0083,68.0,52,75,12.66,MA,1619728699
83,butaritari,3.0707,172.7902,83.21,76,100,15.82,KI,1619728699
84,namatanai,-3.6667,152.4333,79.99,81,64,5.26,PG,1619728700
85,faanui,-16.4833,-151.75,81.5,73,68,7.31,PF,1619728700
86,bongandanga,1.5,21.05,71.17,97,100,2.89,CD,1619728700
87,cabo san lucas,22.8909,-109.9124,84.0,35,1,9.22,MX,1619728550
88,port blair,11.6667,92.75,81.0,77,100,4.99,IN,1619728702
89,isangel,-19.55,169.2667,68.0,100,75,15.17,VU,1619728703
90,beringovskiy,63.05,179.3167,28.45,70,93,3.38,RU,1619728703
91,hamilton,39.1834,-84.5333,66.2,88,90,13.8,US,1619728704
92,norman wells,65.282,-126.8329,41.0,38,75,11.5,CA,1619728704
93,sisophon,13.5859,102.9737,76.98,88,100,3.96,KH,1619728705
