,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saskylakh,71.9167,114.0833,33.75,87,94,10.11,RU,1619674013
1,loukhi,66.0764,33.0381,29.75,72,100,3.98,RU,1619674014
2,mataura,-46.1927,168.8643,55.99,94,96,14.0,NZ,1619674014
3,butaritari,3.0707,172.7902,82.85,73,94,10.0,KI,1619674015
4,ushuaia,-54.8,-68.3,35.6,80,40,16.11,AR,1619674015
5,ruwi,23.5996,58.5507,98.6,18,40,6.91,OM,1619674015
6,port elizabeth,-33.918,25.5701,62.6,77,90,24.16,ZA,1619674016
7,busselton,-33.65,115.3333,69.3,79,100,18.16,AU,1619674016
8,barrow,71.2906,-156.7887,19.4,86,90,11.5,US,1619674016
9,sorland,67.667,12.6934,33.8,93,40,5.75,NO,1619673732
10,lebu,-37.6167,-73.65,53.82,90,77,3.13,CL,1619674017
11,talas,38.6908,35.5538,60.8,67,75,4.61,TR,1619674017
12,bluff,-46.6,168.3333,55.99,94,96,14.0,NZ,1619674018
13,oneonta,42.4529,-75.0638,57.99,81,80,3.89,US,1619674019
14,rikitea,-23.1203,-134.9692,75.83,69,74,9.8,PF,1619674019
15,carnarvon,-24.8667,113.6333,80.6,69,1,12.66,AU,1619674019
16,sitka,57.0531,-135.33,48.2,87,90,4.61,US,1619674020
17,alofi,-19.0595,-169.9187,80.6,94,82,3.44,NU,1619674020
18,punta arenas,-53.15,-70.9167,39.2,75,75,6.91,CL,1619674020
19,avarua,-21.2078,-159.775,80.6,83,40,4.61,CK,1619674021
20,new norfolk,-42.7826,147.0587,66.0,78,66,1.99,AU,1619674021
21,port alfred,-33.5906,26.891,66.92,86,100,17.27,ZA,1619674022
22,mercedes,-34.6515,-59.4307,55.99,74,73,5.97,AR,1619674022
23,bengkulu,-3.8004,102.2655,84.31,68,89,6.26,ID,1619674022
24,almeirim,-1.5233,-52.5817,72.63,96,92,3.31,BR,1619674023
25,erenhot,43.6475,111.9767,43.99,11,18,14.7,CN,1619674023
26,naze,28.3667,129.4833,64.4,94,75,13.8,JP,1619674023
27,taman,45.2117,36.7161,59.0,67,20,11.18,RU,1619674024
