,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cherskiy,68.75,161.3,272.53,97,100,3.99,RU,1619663219
1,kaitangata,-46.2817,169.8464,289.26,57,95,3.58,NZ,1619663132
2,lebu,-37.6167,-73.65,285.75,92,98,2.15,CL,1619663220
3,clyde river,70.4692,-68.5914,268.15,100,90,4.63,CA,1619663220
4,havre-saint-pierre,50.2334,-63.5986,278.15,93,90,2.57,CA,1619663221
5,iqaluit,63.7506,-68.5145,271.15,100,90,3.6,CA,1619663173
6,ha giang,22.8333,104.9833,294.02,90,100,1.71,VN,1619663221
7,vanimo,-2.6741,141.3028,303.44,62,100,1.86,PG,1619663222
8,ushuaia,-54.8,-68.3,275.15,87,40,10.8,AR,1619663144
9,byron bay,-28.65,153.6167,295.15,68,40,4.12,AU,1619663222
10,jamestown,42.097,-79.2353,291.15,88,75,4.63,US,1619663032
11,butaritari,3.0707,172.7902,300.65,79,89,4.9,KI,1619663128
12,owando,-0.4819,15.8999,294.5,96,100,1.18,CG,1619663223
13,smithers,54.7804,-127.1743,281.15,93,90,2.57,CA,1619663223
14,esperance,-33.8667,121.9,303.15,14,96,10.8,AU,1619663224
15,igrim,63.1906,64.4162,276.78,95,100,1.34,RU,1619663224
16,longyearbyen,78.2186,15.6401,266.15,73,75,6.69,SJ,1619663224
17,busselton,-33.65,115.3333,295.37,84,100,3.13,AU,1619663159
18,bredasdorp,-34.5322,20.0403,284.15,87,0,3.6,ZA,1619663103
19,talnakh,69.4865,88.3972,273.63,99,100,3.91,RU,1619663112
20,boa vista,2.8197,-60.6733,301.15,74,40,1.54,BR,1619663225
21,peleduy,59.6289,112.7406,273.52,73,12,5.03,RU,1619663225
22,ancud,-41.8697,-73.8203,288.15,100,90,4.63,CL,1619663226
23,punta arenas,-53.15,-70.9167,278.15,81,75,7.72,CL,1619663048
24,cape town,-33.9258,18.4232,287.59,93,20,2.57,ZA,1619663149
25,fort nelson,58.8053,-122.7002,276.15,41,75,2.06,CA,1619663227
26,bluff,-46.6,168.3333,286.48,91,92,5.36,NZ,1619663227
27,lata,40.1629,-8.3327,287.04,91,94,1.79,PT,1619663227
28,albany,42.6001,-73.9662,287.04,88,78,0.96,US,1619663159
29,yermekeyevo,54.0761,53.6712,276.45,86,52,2.65,RU,1619663228
30,vao,-22.6667,167.4833,296.58,57,31,7.52,NC,1619663228
31,lubaczow,50.157,23.1234,278.15,87,30,1.79,PL,1619663229
32,manggar,-2.8833,108.2667,302.97,66,66,2.7,ID,1619663229
33,castro,-24.7911,-50.0119,283.87,91,11,2.15,BR,1619663229
34,alta floresta,-9.8756,-56.0861,297.15,100,75,1.54,BR,1619663230
35,hithadhoo,-0.6,73.0833,301.96,70,79,4.68,MV,1619663230
36,nikolskoye,59.7035,30.7861,275.37,80,0,2.0,RU,1619663231
37,mataura,-46.1927,168.8643,286.48,91,96,5.36,NZ,1619663231
38,catuday,16.2923,119.8062,300.65,64,74,2.85,PH,1619663231
39,price,39.5994,-110.8107,289.15,29,1,7.72,US,1619663232
40,oistins,13.0667,-59.5333,299.15,69,75,7.2,BB,1619663232
41,kirensk,57.7853,108.1119,274.99,50,0,4.95,RU,1619663232
42,mitsamiouli,-11.3847,43.2844,300.22,77,9,3.7,KM,1619663233
43,oboyan,51.2098,36.2792,276.15,86,20,2.0,RU,1619663233
44,qaqortoq,60.7167,-46.0333,276.15,81,90,3.09,GL,1619663233
45,tautira,-17.7333,-149.15,303.15,70,75,2.06,PF,1619663234
46,avera,33.194,-82.5271,294.15,88,1,1.54,US,1619663163
47,vaini,-21.2,-175.2,300.15,89,75,3.6,TO,1619663234
48,hobart,-42.8794,147.3294,291.15,59,75,3.6,AU,1619663235
49,kapaa,22.0752,-159.319,295.93,94,90,6.69,US,1619663235
50,hermanus,-34.4187,19.2345,286.48,94,22,0.84,ZA,1619663235
51,biskamzha,53.4497,89.5272,278.79,81,100,0.69,RU,1619663236
52,dunedin,-45.8742,170.5036,290.93,52,81,0.45,NZ,1619663236
53,kudat,6.8837,116.8477,300.15,94,40,3.09,MY,1619663236
54,thompson,55.7435,-97.8558,271.15,40,1,2.57,CA,1619663121
55,atuona,-9.8,-139.0333,299.65,72,44,5.19,PF,1619663148
56,dingle,10.9995,122.6711,303.45,59,50,3.09,PH,1619663237
57,pierre,44.3683,-100.351,289.26,39,1,2.57,US,1619663238
58,atbasar,51.8,68.3333,284.36,66,99,3.35,KZ,1619663238
59,alice springs,-23.7,133.8833,296.48,26,0,5.66,AU,1619663057
60,avarua,-21.2078,-159.775,302.15,74,40,4.12,CK,1619663238
61,saskylakh,71.9167,114.0833,271.27,84,89,3.52,RU,1619663239
62,sitka,57.0531,-135.33,282.15,81,90,3.6,US,1619663239
63,east london,-33.0153,27.9116,292.8,76,100,2.64,ZA,1619663240
64,yellowknife,62.456,-114.3525,268.71,58,75,6.17,CA,1619662986
65,ojinaga,29.5667,-104.4167,294.15,24,1,10.29,MX,1619663240
66,severo-kurilsk,50.6789,156.125,276.19,85,99,1.64,RU,1619663199
67,bontang,0.1333,117.5,302.18,66,72,0.46,ID,1619663010
68,balauseri,46.4,24.6833,281.15,93,75,1.54,RO,1619663241
69,at-bashi,41.1702,75.8106,284.46,31,0,1.46,KG,1619663241
70,kawalu,-7.3817,108.2082,298.72,78,100,0.84,ID,1619663242
71,wad madani,14.4012,33.5199,303.53,35,9,4.91,SD,1619663242
72,pallasovka,50.05,46.8833,276.48,71,0,1.81,RU,1619663242
73,oktyabrskoye,43.0645,44.7417,281.15,93,35,2.0,RU,1619663243
74,saldanha,-33.0117,17.9442,283.15,87,0,1.03,ZA,1619663243
75,seoul,37.5683,126.9778,290.15,42,0,3.09,KR,1619663003
76,hamilton,39.1834,-84.5333,292.59,94,75,1.54,US,1619663543
77,meulaboh,4.1363,96.1285,299.97,83,93,1.0,ID,1619663244
78,odweyne,9.4092,45.064,295.9,70,72,2.76,SO,1619663245
79,upernavik,72.7868,-56.1549,265.28,95,9,2.05,GL,1619663213
80,dracena,-21.4843,-51.535,288.92,42,54,3.02,BR,1619663245
81,kahului,20.8947,-156.47,300.15,69,40,4.63,US,1619663052
82,barrow,71.2906,-156.7887,266.15,86,90,5.14,US,1619663183
83,coquimbo,-29.9533,-71.3436,286.15,88,0,2.06,CL,1619663141
84,korkino,54.8913,61.3969,278.15,65,40,6.0,RU,1619663246
85,kloulklubed,7.0419,134.2556,303.15,74,75,3.6,PW,1619663246
86,tuktoyaktuk,69.4541,-133.0374,272.15,74,40,5.14,CA,1619663050
87,qaanaaq,77.484,-69.3632,269.07,89,100,1.6,GL,1619663247
88,chongwe,-15.3292,28.682,290.53,78,10,2.12,ZM,1619663247
89,baiyin,36.5583,104.2081,287.15,33,0,3.0,CN,1619663248
90,berlevag,70.8578,29.0864,271.34,72,100,7.56,NO,1619663248
91,tucano,-10.9631,-38.7867,295.39,92,69,2.14,BR,1619663248
92,college,64.8569,-147.8028,285.15,28,20,1.54,US,1619663112
93,mahibadhoo,3.7833,72.9667,301.56,70,100,3.84,MV,1619663249
94,mahajanga,-15.7167,46.3167,296.15,94,20,1.54,MG,1619663249
95,fortuna,40.5982,-124.1573,285.93,93,40,6.17,US,1619663211
96,port alfred,-33.5906,26.891,292.02,88,100,8.1,ZA,1619663250
97,norman wells,65.282,-126.8329,273.15,47,20,8.23,CA,1619663250
98,birao,10.2849,22.7882,298.68,59,100,1.57,CF,1619663251
99,mount isa,-20.7333,139.5,301.15,26,0,5.66,AU,1619663251
